date,ac
2011-1-10,12.27
2011-1-11,12.03
2011-1-12,12.3
2011-1-13,12.33
2011-1-14,12.21
2011-1-17,11.62
2011-1-18,11.85
2011-1-19,11.98
2011-1-20,11.37
2011-1-21,11.45
2011-1-24,11.22
2011-1-25,11.11
2011-1-26,11.6
2011-1-27,11.68
2011-1-28,11.8
2011-1-31,11.85
2011-2-1,11.97
2011-2-9,11.69
2011-2-10,11.98
2011-2-11,12.52
2011-2-14,12.85
2011-2-15,12.65
2011-2-16,12.69
2011-2-17,12.48
2011-2-18,12.26
2011-2-21,12.46
2011-2-22,12.04
2011-2-23,12.18
2011-2-24,12.95
2011-2-25,13.03
2011-2-28,13.35
2011-3-1,13.24
2011-3-2,13.15
2011-3-3,13.02
2011-3-4,13.28
2011-3-7,13.69
2011-3-8,13.7
2011-3-9,13.7
2011-3-10,13.61
2011-3-11,13.32
2011-3-14,13.35
2011-3-15,13.05
2011-3-16,13.05
2011-3-17,12.81
2011-3-18,12.86
2011-3-21,12.88
2011-3-22,12.82
2011-3-23,12.99
2011-3-24,12.78
2011-3-25,12.85
2011-3-28,12.56
2011-3-29,12.35
2011-3-30,12.35
2011-3-31,12.15
2011-4-1,12.29
2011-4-7,12.55
2011-4-8,12.58
2011-4-11,12.33
2011-4-12,12.12
2011-4-13,12.43
2011-4-14,12.3
2011-4-15,12.3
2011-4-18,12.47
2011-4-19,12.66
2011-4-20,12.7
2011-4-21,12.59
2011-4-22,12.32
2011-4-25,12.33
2011-4-26,12.52
2011-4-27,12.58
2011-4-28,12.22
2011-4-29,12.34
2011-5-3,12.38
2011-5-4,12.01
2011-5-5,12.11
2011-5-6,12.4
2011-5-9,12.47
2011-5-10,12.52
2011-5-11,12.36
2011-5-12,12.29
2011-5-13,12.36
2011-5-16,12.23
2011-5-17,12.25
2011-5-18,12.28
2011-5-19,12.28
2011-5-20,12.31
2011-5-23,11.92
2011-5-24,11.81
2011-5-25,11.59
2011-5-26,11.43
2011-5-27,11.3
2011-5-30,11.39
2011-5-31,11.61
2011-6-1,11.51
2011-6-2,11.34
2011-6-3,11.35
2011-6-7,11.81
